City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
297,Pembroke,CA,45.8168,-77.1162,33.78,90,95,1.86,overcast clouds
298,Coihaique,CL,-45.5752,-72.0662,42.75,70,75,4.61,light rain
299,Xining,CN,36.6167,101.7667,47.3,60,99,2.77,overcast clouds
300,Berlevag,NO,70.8578,29.0864,36.63,64,83,21.52,broken clouds
301,Sangar,RU,63.9242,127.4739,20.62,94,100,8.14,snow
302,Kosjeric,RS,43.9961,19.9069,43.95,87,90,3.44,overcast clouds
303,Ogbomosho,NG,8.133,4.25,70.68,95,95,1.92,overcast clouds
304,Kigorobya,UG,1.6162,31.3089,65.95,88,63,2.33,broken clouds
305,Rawah,IQ,34.4816,41.9093,67.35,22,3,7.02,clear sky
306,Bayir,TR,37.2687,28.2167,45.12,66,0,4.07,clear sky
307,Akyab,MM,20.15,92.9,81.75,69,98,2.35,overcast clouds
308,Mendi,PG,-6.1761,143.6513,66.83,79,38,5.03,scattered clouds
309,Katangli,RU,51.7102,143.2326,38.62,80,65,19.77,broken clouds
310,Sao Filipe,CV,14.8961,-24.4956,78.31,66,9,9.37,clear sky
311,Constitucion,CL,-35.3333,-72.4167,49.98,86,2,10.87,clear sky
312,Svetlogorsk,BY,52.6333,29.7333,37.78,84,66,12.82,broken clouds
313,Arkhipovka,RU,56.6629,41.2543,37.87,85,98,6.2,overcast clouds
314,Qidong,CN,31.8128,121.6561,68.99,50,84,6.62,broken clouds
315,Banjar,ID,-8.19,114.9675,87.66,50,92,3.83,overcast clouds
316,Murchison,NZ,-41.8,172.3333,53.96,92,100,3.13,overcast clouds
317,Lorengau,PG,-2.0226,147.2712,84.97,70,99,9.1,overcast clouds
318,Wagar,SD,16.1525,36.2032,78.17,60,5,9.82,clear sky
319,Grasse,FR,43.6667,6.9167,56.79,73,0,3.44,clear sky
320,Udachnyy,RU,66.4167,112.4,26.87,90,100,20.0,overcast clouds
321,Aklavik,CA,68.2191,-135.0107,29.23,95,85,4.18,overcast clouds
322,Soria,ES,41.6667,-2.6667,31.91,53,50,3.06,scattered clouds
323,Nanortalik,GL,60.1432,-45.2371,35.02,66,23,23.31,few clouds
324,Santa Ines,BR,-3.6667,-45.38,74.93,92,92,3.58,overcast clouds
325,Xiaolingwei,CN,32.0333,118.85,71.85,47,94,3.89,overcast clouds
326,San Andres,CO,12.5847,-81.7006,82.42,83,40,4.61,scattered clouds
327,Bismarck,US,46.8083,-100.7837,44.2,75,90,8.99,overcast clouds
328,Dori,BF,14.0354,-0.0345,82.42,53,100,6.82,overcast clouds
329,Pingdingshan,CN,33.7385,113.3012,64.74,39,30,4.38,scattered clouds
330,Caconda,AO,-13.7333,15.0667,59.68,89,77,2.93,broken clouds
331,Busayra,JO,30.7376,35.6078,51.3,67,0,1.7,clear sky
332,Takoradi,GH,4.8845,-1.7554,76.51,88,86,2.82,overcast clouds
333,Koumac,NC,-20.5667,164.2833,76.64,68,24,7.18,few clouds
334,Roanoke Rapids,US,36.4615,-77.6542,54.34,100,1,0.0,clear sky
335,Cherskiy,RU,68.75,161.3,-7.4,100,84,4.63,broken clouds
336,Nhulunbuy,AU,-12.2333,136.7667,90.21,51,40,13.8,scattered clouds
337,Kulachi,PK,31.9286,70.4592,72.0,52,0,9.73,clear sky
338,Buin,CL,-33.7333,-70.75,61.74,47,0,5.06,clear sky
339,Grindavik,IS,63.8424,-22.4338,45.07,100,75,10.36,broken clouds
340,Ossora,RU,59.2353,163.0719,30.83,85,91,8.12,overcast clouds
341,Tilichiki,RU,60.4667,166.1,13.55,89,92,8.41,overcast clouds
342,Veraval,IN,20.9,70.3667,82.35,59,17,7.47,few clouds
343,Odweyne,SO,9.4092,45.064,71.1,37,2,9.75,clear sky
344,Hasaki,JP,35.7333,140.8333,68.29,44,16,3.56,few clouds
