City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
640,Pangai,TO,75.31,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
643,Cozumel,MX,82.0,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
648,Luba,GQ,75.09,broken clouds,3.4568,8.5547,
649,Hobyo,SO,79.95,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
650,Porto Nacional,BR,77.0,overcast clouds,-10.7081,-48.4172,Vila Real Hotel
651,Kokologo,BF,80.46,overcast clouds,12.1897,-1.8856,
655,Beloha,MG,73.09,clear sky,-25.1667,45.05,
656,Intipuca,SV,75.33,scattered clouds,13.1969,-88.0544,Tropiclub Playa El Cuco
658,Monrovia,LR,75.97,light rain,6.3005,-10.7969,Sunset Inn
660,The Valley,AI,82.26,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
663,Curvelo,BR,71.33,clear sky,-18.7564,-44.4308,Pontal Plaza Hotel
671,Houma,US,77.0,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
673,Nago,JP,79.65,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
674,Lingao,CN,73.42,light rain,19.9103,109.6859,Lingao Ditai Inn
676,Mocuba,MZ,76.89,clear sky,-16.8392,36.9856,Phama Lodge
680,Honiara,SB,83.16,scattered clouds,-9.4333,159.95,Heritage Park Hotel
681,Cabedelo,BR,79.47,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
682,Kirakira,SB,85.96,clear sky,-10.4544,161.9205,SanBiz Lodge
683,Santa Marta,CO,78.85,broken clouds,11.2408,-74.199,Casa de Isabella
686,Ixtapa,MX,83.23,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
691,Mogadishu,SO,80.17,few clouds,2.0371,45.3438,Hotel Juba
693,Galesong,ID,87.82,scattered clouds,-5.3166,119.3661,Sapriadi Appy
